Statistical profiling result from wlog.log, (8360 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   5762   68.9%          /usr/local/bin/node
    157    1.9%          /usr/lib/x86_64-linux-gnu/libc.so.6
      4    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
      1    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     53    0.6%    2.2%  RegExp: [ \t]*<%_
     16    0.2%    0.7%  LazyCompile: *serializeInto /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/serializer.js:553:23
     16    0.2%    0.7%  LazyCompile: *deserializeObject /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/deserializer.js:65:27
     14    0.2%    0.6%  LazyCompile: *resolve node:path:1091:10
     10    0.1%    0.4%  LazyCompile: *normalizeString node:path:66:25
      9    0.1%    0.4%  RegExp: _%>[ \t]*
      8    0.1%    0.3%  LazyCompile: *emit node:events:475:44
      7    0.1%    0.3%  LazyCompile: *scanLine /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:815:22
      6    0.1%    0.2%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      6    0.1%    0.2%  Function: ^deserializeObject /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/deserializer.js:65:27
      5    0.1%    0.2%  LazyCompile: *next /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:177:16
      5    0.1%    0.2%  LazyCompile: *<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/connect-mongo/build/main/lib/MongoStore.js:236:10
      4    0.0%    0.2%  LazyCompile: *serializeObject /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/serializer.js:260:25
      4    0.0%    0.2%  LazyCompile: *serializeBinary /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/serializer.js:462:25
      4    0.0%    0.2%  Function: ^fromStringFast node:buffer:413:24
      3    0.0%    0.1%  LazyCompile: *writeOrBuffer node:internal/streams/writable:365:23
      3    0.0%    0.1%  LazyCompile: *slowCases node:internal/util:165:19
      3    0.0%    0.1%  LazyCompile: *processWaitQueue /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection_pool.js:426:26
      3    0.0%    0.1%  LazyCompile: *matchKnownFields node:_http_incoming:231:26
      3    0.0%    0.1%  LazyCompile: *compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:571:21
      3    0.0%    0.1%  LazyCompile: *Readable.read node:internal/streams/readable:394:35
      3    0.0%    0.1%  Function: ^writeCommand /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/message_stream.js:40:17
      3    0.0%    0.1%  Function: ^get readPreference /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/collection.js:113:23
      2    0.0%    0.1%  RegExp: ^\/logout\/?$
      2    0.0%    0.1%  RegExp: \u001b\[\d\d?m
      2    0.0%    0.1%  RegExp: [&<>'"]
      2    0.0%    0.1%  RegExp: (<%%|%%>|<%=|<%-|<%_|<%#|<%|%>|-%>|_%>)
      2    0.0%    0.1%  LazyCompile: *write node:buffer:593:12
      2    0.0%    0.1%  LazyCompile: *write node:buffer:1051:40
